address,holders.holders,holders.holdersCount,liquidity.eth_liquidity,scam
0x6A28CCD7eF7670448e527475Be48e4b75aB17bE1,"[{""address"":""0x0a4ea8C703d30d6c7Ad25F6849c130824597CAaD"",""balance"":806209961302107000,""share"":80.62},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":123484033797708900,""share"":12.35},{""address"":""0x9775eFe31537964422cf084D4403785A810f3Ef4"",""balance"":47148119761666170,""share"":4.71},{""address"":""0xe227a0C38B42C58A5e5beE819F32351AaB426a08"",""balance"":13157886138517250,""share"":1.32},{""address"":""0xA10E3AF40d3A4EBcb7406CBf3EB16C1a0acb1888"",""balance"":9999999000000000,""share"":1},{""address"":""0x7073e0E2aC3B0CD36E3e1Fc682c545FD8Ed64848"",""balance"":590,""share"":0},{""address"":""0x92cD975966705C110E388eD0b6a3707913c757d7"",""balance"":67,""share"":0},{""address"":""0x00000000003b3cc22aF3aE1EAc0440BcEe416B40"",""balance"":2,""share"":0},{""address"":""0x0000000000D9455CC7EB92D06E00582A982f68fe"",""balance"":1,""share"":0}]",9,0.000449088361531043,1
0xC9eC1454903Be55382E97cf9B4963eD21C0c6bF8,"[{""address"":""0x54FdD827Da49f2e806449839233d573D67e3191f"",""balance"":13851443989712738,""share"":65.96},{""address"":""0xf77Db7583a37FF06dBB959bF859bc3d7Cb08d5Fb"",""balance"":789598120000000,""share"":3.76},{""address"":""0x0BbacDa63eEB8F1F46162CEb4245aFaE0159A55b"",""balance"":394799060000000,""share"":1.88},{""address"":""0x782dbF57bE7b9A03452b6057001f8C6B51293C16"",""balance"":394799060000000,""share"":1.88},{""address"":""0x188F230210c6f478546d0e23cF05d8Ad5c6482A9"",""balance"":394799060000000,""share"":1.88},{""address"":""0x2ADe55968E9A968c31D8B66242FcC2c438Ab7776"",""balance"":393860000000000,""share"":1.88},{""address"":""0x16560f230D8bDc2755c95be06a1CD5177ee5d74F"",""balance"":393860000000000,""share"":1.88},{""address"":""0x4a9CDc87F92eD1a2a6d31e00Cf9C30f8D7C04C13"",""balance"":393860000000000,""share"":1.88},{""address"":""0x7103d02E4a4c0Aa3370E7a7C5158ff1b16d768F1"",""balance"":393860000000000,""share"":1.88},{""address"":""0x913e5A85453D97788057BaB4DE28623C86d4846B"",""balance"":393860000000000,""share"":1.88}]",23,0.000181593075473437,1
0xDeB502C7767ADDAb49d2fbd2716e2c41d889CB2a,"[{""address"":""0x6Ea46d969F9c9bA6EcAE215044fB81aD527C6CD4"",""balance"":80115193605871390000,""share"":80.12},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":12348403354469984000,""share"":12.35},{""address"":""0x08e1f7E21d90e47Fd93FE302ce6b23BB5772e8a1"",""balance"":4459547465705878000,""share"":4.46},{""address"":""0x16AC8b495A93ABc9239515FfE7486973ff3f02c8"",""balance"":1208594490581589200,""share"":1.21},{""address"":""0xA10E3AF40d3A4EBcb7406CBf3EB16C1a0acb1888"",""balance"":999999999000000000,""share"":1},{""address"":""0xD56D02912A09DA72883BB4E9ccFabCD3b9AcAF51"",""balance"":473537804498091970,""share"":0.47},{""address"":""0x81bA9CD74964a8e489134C6ed7977564214481b2"",""balance"":394622212869443700,""share"":0.39},{""address"":""0x00000000003b3cc22aF3aE1EAc0440BcEe416B40"",""balance"":91067003623821,""share"":0},{""address"":""0x2cE21E39233cB2B5Ef8Ea78c7a1Efa882A7D595A"",""balance"":10000000000000,""share"":0},{""address"":""0x1C804139012DDCFd3E703554Ae784d030ba0b04a"",""balance"":6542,""share"":0}]",10,1.54E-16,1
0x55160dA707C007B34676BbE1b14B468cDE94f7c5,"[{""address"":""0x6C898A4AeFf1Df86Bd22585B5Ab43d0fCEB414B3"",""balance"":807946186394338,""share"":67.33},{""address"":""0x55160dA707C007B34676BbE1b14B468cDE94f7c5"",""balance"":60599950000000,""share"":5.05},{""address"":""0x94B57b29Bf6821D21C45b59779d2Cbf99d44b6c3"",""balance"":43508319253423,""share"":3.63},{""address"":""0xf77Db7583a37FF06dBB959bF859bc3d7Cb08d5Fb"",""balance"":22799050000000,""share"":1.9},{""address"":""0x188F230210c6f478546d0e23cF05d8Ad5c6482A9"",""balance"":22799050000000,""share"":1.9},{""address"":""0xF062d040166894A4a57aAebeF68ac9a1C225dCE8"",""balance"":22799050000000,""share"":1.9},{""address"":""0x9AEc0738bc9A2bbc54F190ff58db9A1f58bDfdd0"",""balance"":22799050000000,""share"":1.9},{""address"":""0xf88DAdC8B93dB090839207Fa95AE88545B54E43A"",""balance"":22335248150912,""share"":1.86},{""address"":""0x97b3106f7DCFBC6EBB79256e71529319Bd9C6D45"",""balance"":21850000000000,""share"":1.82},{""address"":""0x681d1fD70df4c610aFdFed3ea83CE10df8437B08"",""balance"":21386555335607,""share"":1.78}]",16,5.0262E-14,1
0x147ec059cBbFAb9B7D085f5C52aD93BF3F93a72f,"[{""address"":""0xA9724f96a32E14DF96857925cbd54CD377482902"",""balance"":7.2702716765072845e+31,""share"":72.7},{""address"":""0x13307b8854a95946b54A904100AFd0767a7a577b"",""balance"":9.699030621517721e+30,""share"":9.7},{""address"":""0x41A14a3905A6827964a1eD9359E686eF768e2996"",""balance"":5.7095875092143e+30,""share"":5.71},{""address"":""0xFEc631B2428E870d7B0B324Ae9136c5dE6005a11"",""balance"":3.823944385046958e+30,""share"":3.82},{""address"":""0x6EaA9db4AC9DeF1297365e1b79b965058F641f69"",""balance"":3.7315109138580354e+30,""share"":3.73},{""address"":""0xdE5aD475057482fEc82136E5e698EcD8b57615e9"",""balance"":2.407566407298095e+30,""share"":2.41},{""address"":""0x6669172746038C8a902E5306c29be1BE4Cdf49Fb"",""balance"":1.9256433979920494e+30,""share"":1.93},{""address"":""0x02B5D52E494d1b0D15E62CB0947fb6a9482b353A"",""balance"":2547845097,""share"":0}]",8,1E-18,1
0x4F4c63e0DEb3207A986F03FD1b5a5FB4D2f4D8A2,"[{""address"":""0x4598B26b27D142A957406A4DbB0BB278C15Fc897"",""balance"":8.516923500385194e+21,""share"":85.17},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":1.4346114066527934e+21,""share"":14.35},{""address"":""0xD56D02912A09DA72883BB4E9ccFabCD3b9AcAF51"",""balance"":48465092962012680000,""share"":0.48},{""address"":""0x8cFB6CcE682746E59443F77456d0D050E7c7BC86"",""balance"":69541,""share"":0}]",4,1.5E-17,1
0x92650d0c9a8D67d0E3846eBcB6Bb82b66e16968C,"[{""address"":""0xe488E8d023F994156C6721F0708351740C0F0EB8"",""balance"":1.0620132260977092e+28,""share"":53.1},{""address"":""0xedca5D37d33A69b69DFf9CcFAdc4aa20dC42949d"",""balance"":8.706130448129732e+27,""share"":43.53},{""address"":""0x7f13440F93D2B49e0E06FE04fA7Ed7CF55c4c1Ae"",""balance"":4.507808061954392e+26,""share"":2.25},{""address"":""0x8648214181C8d16FE79Bc7eE4F077Bc4b31198aB"",""balance"":2.229564846977365e+26,""share"":1.11},{""address"":""0xE8373A0bAB93cc4AD39e89730167e8d1f326Ef75"",""balance"":17447944,""share"":0}]",5,1E-18,1
0x61501D18DEe1D4f9C912f8695783DD6db4dD138f,"[{""address"":""0x08453fcD7Ad52Be0A2cC85575E78b9734d825A53"",""balance"":84277157296156080000,""share"":84.28},{""address"":""0xc48B29ca537Fb912dDEEE8f5917E8A6d966AaB57"",""balance"":1900240299905247500,""share"":1.9},{""address"":""0x204a1772B1a5abC5F1F8BA230521efc9f4Ca2367"",""balance"":1454576968151181800,""share"":1.45},{""address"":""0x95B2695a5F2A7876177B8709a6Bad7C11E891204"",""balance"":1292364225247236600,""share"":1.29},{""address"":""0x9573d3ffCa7974f705B9eC389698aF38f5F8136a"",""balance"":1229815271894460400,""share"":1.23},{""address"":""0x9e00Acf93005dac9bF03aDF8994B9ec087cc4F48"",""balance"":923527727871161000,""share"":0.92},{""address"":""0xca4073ce6451f291Daba55Cc4eaf58d2C0166655"",""balance"":722903481940278000,""share"":0.72},{""address"":""0x452dF59f36F6152C28cF4Dcf3956Ef12EDc2aBf9"",""balance"":573217153993131650,""share"":0.57},{""address"":""0x1748789703159580520CC2cE6D1ba01e7359C44c"",""balance"":556282988104978900,""share"":0.56},{""address"":""0xC63fc71895085CCf23b10fDc5895C97138Acd3ce"",""balance"":545786916259981630,""share"":0.55}]",29,1.62E-16,1
0xc2616C741c5bD83Bc47843744d21bd6EA5c5dd93,"[{""address"":""0x488F39c078A509B30353D563D4b098168bA59759"",""balance"":1.5380214611989185e+22,""share"":76.9},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":2.8693203231531414e+21,""share"":14.35},{""address"":""0x08e1f7E21d90e47Fd93FE302ce6b23BB5772e8a1"",""balance"":1.7504650648576731e+21,""share"":8.75},{""address"":""0xe73EF3fa7cDD769Acec641Cd43681a513FD966A0"",""balance"":88798,""share"":0}]",4,1.2E-17,1
0xF29EBaDa5aF5e9c8c03ba4177cf49C7f1fB8c00A,"[{""address"":""0x22d599FB650fc6bfcc2aE4991d69bbA9C344CB64"",""balance"":785992281743804000000,""share"":78.6},{""address"":""0xC81Cb0b822c2E9Bc9f37230Aa7601c42Bc5e9B7f"",""balance"":36065847870684627000,""share"":3.61},{""address"":""0xf7d499d603471Ed8f5ee7628466210dE15AFf1cA"",""balance"":17445357943638485000,""share"":1.74},{""address"":""0x2D5DF72B3cA2d9e0975c963b3D52ca24e98B25a4"",""balance"":17096422964471340000,""share"":1.71},{""address"":""0xF062d040166894A4a57aAebeF68ac9a1C225dCE8"",""balance"":13993397669405057000,""share"":1.4},{""address"":""0x9AEc0738bc9A2bbc54F190ff58db9A1f58bDfdd0"",""balance"":13662467544839928000,""share"":1.37},{""address"":""0xdC17AEaDAaF5F4D2C83918790fBA05eEE8c825C0"",""balance"":9969495396100995000,""share"":1},{""address"":""0xd1e76981783BFe6Bb95e19b186aAc527B2bc3095"",""balance"":7563206631117720000,""share"":0.76},{""address"":""0x5397a8D1d36a6210F034DD667F8c84784436a47d"",""balance"":4673058832958469000,""share"":0.47},{""address"":""0x637B6A89afF111E9d4aF0546953bCA1102CabA4a"",""balance"":4442188034609337000,""share"":0.44}]",47,4.5E-17,1
0xA5530dee446A50a35170C4BaE2D2494B2B3de328,"[{""address"":""0xC28AB865B8ab3c0C2c60339fE994e73ca7BFA832"",""balance"":900127650496105700000,""share"":90.01},{""address"":""0xA5530dee446A50a35170C4BaE2D2494B2B3de328"",""balance"":48327087854406880000,""share"":4.83},{""address"":""0x99bC2C310d9998cD3eF2C518989A6E5E1A4F4284"",""balance"":18999999999050000000,""share"":1.9},{""address"":""0x0dA7827dCAacf7BAA921f5988686D28b3EB5A009"",""balance"":17209675754007431000,""share"":1.72},{""address"":""0x527cfb759D6ea005B541c2351fD15eCBf038CC60"",""balance"":15335585896430051000,""share"":1.53},{""address"":""0x3a173dC344683B2CcDeAE21b26e2CCE20DD435a2"",""balance"":21738,""share"":0}]",6,4.7E-17,1
0x85646C68eAEeED948Bd05fBceF6aB318D713beCb,"[{""address"":""0xD7713e9D8abf806A49ef8255F446Fcc0103125B7"",""balance"":1.092444782507682e+29,""share"":54.62},{""address"":""0xedca5D37d33A69b69DFf9CcFAdc4aa20dC42949d"",""balance"":8.432264114788327e+28,""share"":42.16},{""address"":""0x7f13440F93D2B49e0E06FE04fA7Ed7CF55c4c1Ae"",""balance"":6.432880601348517e+27,""share"":3.22},{""address"":""0x9C26AD949d3cE16E2910D179e41bDF8DeF7BD278"",""balance"":199452217,""share"":0}]",4,1E-18,1
0xc4ED182fadc8A3641E63d4491f7C1C45a49C8aD3,"[{""address"":""0x173e4E553Ec26C93a39f0651d44404aB2849EEad"",""balance"":4.153543447718387e+22,""share"":83.07},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":7.04047134911098e+21,""share"":14.08},{""address"":""0x68dB21C10faAfBA2cDb91CDD78d96fBBAe428dB1"",""balance"":699186000001000000000,""share"":1.4},{""address"":""0xA10E3AF40d3A4EBcb7406CBf3EB16C1a0acb1888"",""balance"":499999999999000000000,""share"":1},{""address"":""0x750474CA754f6845E88376E275DcE48C758615ab"",""balance"":224908173705153480000,""share"":0.45},{""address"":""0xe1EF9b7e034b3bDf9Bf18aD8ef44984cF95D3bdc"",""balance"":151666,""share"":0}]",6,7E-18,1
0x206FA08DEdE1bafF3Ce5dE4ecbf96ddD9e214f01,"[{""address"":""0xa61662E419D6c71c7f1fE3187B9d9D697Ed87035"",""balance"":1.8737692382393184e+22,""share"":62.46},{""address"":""0x08e1f7E21d90e47Fd93FE302ce6b23BB5772e8a1"",""balance"":3.0113006263532997e+21,""share"":10.04},{""address"":""0x0a4ea8C703d30d6c7Ad25F6849c130824597CAaD"",""balance"":2.6861338730478227e+21,""share"":8.95},{""address"":""0xd619de66921e17952113f1b280a0C14688950273"",""balance"":2.498527672782954e+21,""share"":8.33},{""address"":""0x9775eFe31537964422cf084D4403785A810f3Ef4"",""balance"":1.434271701202236e+21,""share"":4.78},{""address"":""0x9F13675Cebb6e34f45dF19c025e3c24E7F8cac3A"",""balance"":1.285059242193895e+21,""share"":4.28},{""address"":""0x750474CA754f6845E88376E275DcE48C758615ab"",""balance"":194385486599655950000,""share"":0.65},{""address"":""0x6fFbcA4259dFceC4B72BEd5008704468208e7635"",""balance"":152629005426951230000,""share"":0.51},{""address"":""0x2cE21E39233cB2B5Ef8Ea78c7a1Efa882A7D595A"",""balance"":10000000000000,""share"":0},{""address"":""0xC7416ACfD4104CCd2d7708dea5c1056a6D499c4c"",""balance"":88331,""share"":0}]",11,1.2E-17,1
0xe55ff522369b38E1843F3e7CC9b1dFcbd796bf29,"[{""address"":""0x7d2feeED3c510a752bF08537EC0A8A383765363D"",""balance"":6.093400209857277e+21,""share"":60.93},{""address"":""0x08e1f7E21d90e47Fd93FE302ce6b23BB5772e8a1"",""balance"":1.4767390079683729e+21,""share"":14.77},{""address"":""0x488F39c078A509B30353D563D4b098168bA59759"",""balance"":1.1174919461643308e+21,""share"":11.17},{""address"":""0x01859fEF70137e93b8D64A954cF2a4ad9D81B4A8"",""balance"":560879320221815000000,""share"":5.61},{""address"":""0x4598B26b27D142A957406A4DbB0BB278C15Fc897"",""balance"":494939893124841400000,""share"":4.95},{""address"":""0x6Ea46d969F9c9bA6EcAE215044fB81aD527C6CD4"",""balance"":256549592663363130000,""share"":2.57},{""address"":""0x2cE21E39233cB2B5Ef8Ea78c7a1Efa882A7D595A"",""balance"":30000000000000,""share"":0},{""address"":""0xAc33d889D566228985fd48f7308DdB0505120a10"",""balance"":49753,""share"":0}]",8,2.1E-17,1
